feature_id,feature_name,primary_module,requirement_id,source_message_count,status,acceptance_criteria,runtime_state,next_action
FEAT-001,Sovereign Request Capture,MOD-PROJECTS-KB,REQ-CANON-001,26723,REGISTERED_CANDIDATE,Preserve every relevant user request and applicable assistant response with immutable provenance and stable identifiers.,UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-002,Source Intake and Reconstruction,MOD-MASTER-KB,REQ-CANON-002,15326,REGISTERED_CANDIDATE,"Inventory, hash, safely extract, index, reconcile, and preserve every accessible source without inventing missing metadata.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-003,Requirement Compiler,MOD-PROJECTS-KB,REQ-CANON-003,10885,REGISTERED_CANDIDATE,"Map every extracted request to canonical requirements while retaining all source pointers, conflicts, supersession, and gaps.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-004,Module Registry and Runtime,MOD-MODULE-RUNTIME,REQ-CANON-004,7568,REGISTERED_CANDIDATE,"Register every module with owner, contracts, dependencies, state, tests, evidence, cost, security, and rollback.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-005,Feature Registry,MOD-CORE-PLATFORM,REQ-CANON-005,9296,REGISTERED_CANDIDATE,"Register all requested features with target placement, acceptance criteria, implementation state, and proof path.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-006,Function Registry,MOD-SOFTWARE-RUNTIME,REQ-CANON-006,18113,REGISTERED_CANDIDATE,"Register callable functions, handlers, routes, inputs, outputs, errors, tests, and runtime state.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-007,Skill Registry and Factory,MOD-AGENT-ORCHESTRATOR,REQ-CANON-007,2109,REGISTERED_CANDIDATE,"Map Skills to one primary owner, triggers, inputs, outputs, tests, evidence, and lifecycle state.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-008,Tool/API Registry,MOD-INTEGRATIONS-FABRIC,REQ-CANON-008,17063,REGISTERED_CANDIDATE,"Register tools, apps, APIs, MCPs, webhooks, connectors, scopes, health checks, costs, fallbacks, and revoke paths.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-009,Model Intelligence Router,MOD-LLM-ROUTER,REQ-CANON-009,13571,REGISTERED_CANDIDATE,"Route deterministic, local, free, lowest-cost, and premium models by verified capability, privacy, latency, reliability, and cost.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-010,Governed Agent Mesh,MOD-AGENT-ORCHESTRATOR,REQ-CANON-010,6215,REGISTERED_CANDIDATE,"Operate a bounded hierarchical agent council with explicit permissions, quotas, retries, memory, tests, safe stop, and independent verification.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-011,Durable Workflow Runtime,MOD-WORKFLOW-RUNTIME,REQ-CANON-011,15731,REGISTERED_CANDIDATE,"Implement workflows with dependency graphs, state, idempotency, retries, checkpoints, queues, dead letters, evidence, and rollback.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-012,Deployment Lifecycle,MOD-DEPLOYMENT,REQ-CANON-012,6669,REGISTERED_CANDIDATE,"Use branch, CI, review, staging, canary, production, monitoring, rollback, and owner-acceptance gates.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-013,GitHub and CI Control,MOD-DEPLOYMENT,REQ-CANON-013,8518,REGISTERED_CANDIDATE,"Use non-destructive branches, commits, pull requests, deterministic CI, security scans, review, and rollback.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-014,Security and Secret Governance,MOD-SECURITY-VAULT,REQ-CANON-014,19930,REGISTERED_CANDIDATE,"Enforce zero trust, least privilege, scoped identities, vault-backed secret references, supply-chain scans, audit, and incident response.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-015,Approval and Autonomy Policy,MOD-AUTONOMY-GOVERNOR,REQ-CANON-015,15128,REGISTERED_CANDIDATE,"Require explicit approval for credentials, billing, destructive actions, external communications, money movement, live trading, production, and regulated actions.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-016,Evidence and Audit Fabric,MOD-AUDIT-LEDGER,REQ-CANON-016,29357,REGISTERED_CANDIDATE,"Maintain source-to-runtime traceability, hashes, tests or waivers, discrepancy records, proof states, and independent verification.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-017,Progress and Command Centre,MOD-DASHBOARD,REQ-CANON-017,16870,REGISTERED_CANDIDATE,"Expose truthful progress, traffic lights, blockers, exact next actions, approvals, costs, evidence, and rollback in the Command Centre.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-018,Memory and Continuity,MOD-MEMORY-CONTINUITY,REQ-CANON-018,11400,REGISTERED_CANDIDATE,"Maintain working, episodic, semantic, procedural, project, and audit memory with provenance, correction, retention, resume, export, and rollback.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-019,Free-First Cost Governor,MOD-COST-ENGINE,REQ-CANON-019,28988,REGISTERED_CANDIDATE,"Default to verified cached, deterministic, local, native, open, and free routes before justified paid escalation; track hard ceilings and unit cost.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-020,Self-Build Factory,MOD-SELF-BUILD,REQ-CANON-020,794,REGISTERED_CANDIDATE,"Support governed self-build, self-repair, self-update, scaffolding, simulation, testing, canary, promotion, and rollback.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-021,Data and Knowledge Fabric,MOD-PROJECTS-KB,REQ-CANON-021,3306,REGISTERED_CANDIDATE,"Separate immutable raw sources, normalized records, domain data, memory, evidence, telemetry, and retention policies.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-022,Universal Intelligence Fabric,MOD-INTELLIGENCE-JOBS,REQ-CANON-022,16376,REGISTERED_CANDIDATE,"Use official-first research, source expansion, claim extraction, contradiction/freshness analysis, question generation, and evidence packs.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-023,SOP and OJT Qualification,MOD-OPERATOR-SUMMARIES,REQ-CANON-023,2607,REGISTERED_CANDIDATE,"Provide role cards, SOPs, checklists, failure playbooks, simulations, competency tests, permission ceilings, and retraining triggers.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-024,Novice-First UX and Button Truth,MOD-CONSOLE-JARVIS-POP,REQ-CANON-024,12037,REGISTERED_CANDIDATE,"Every UI control must declare purpose, inputs, handler, approval, state, output, evidence, failure, retry, rollback, and next step.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-025,Backup Restore and Disaster Recovery,MOD-BACKUP-RECOVERY,REQ-CANON-025,5744,REGISTERED_CANDIDATE,"Define RPO/RTO, backups, restore tests, replay, degraded mode, failover, rollback ownership, and continuity packs.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-026,XRP/HBAR Apex Intelligence,MOD-XRP-HBAR-APEX,REQ-CANON-026,30176,REGISTERED_CANDIDATE,"Maintain research-only XRP/HBAR intelligence, catalysts, on-chain/market evidence, probabilities, discrepancy logs, and anti-hype controls.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-027,Trading Research and Paper Execution,MOD-TRADING-RESEARCH,REQ-CANON-027,10037,REGISTERED_CANDIDATE,"Keep strategy research, backtesting, walk-forward validation, paper trading, risk, and broker/exchange integration owner-gated before live execution.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-028,AI CFO and Finance Evidence,MOD-AI-CFO,REQ-CANON-028,20021,REGISTERED_CANDIDATE,"Maintain isolated finance, Xero, tax, trust, SMSF, invoice, cash-flow, portfolio, audit, and professional-review workflows.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-029,Health and Care Coordination,MOD-HEALTH,REQ-CANON-029,12059,REGISTERED_CANDIDATE,"Keep health workflows privacy-safe, evidence-tiered, non-diagnostic, consent-controlled, and professionally gated.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-030,Property and Buyer Intelligence,MOD-PROPERTY,REQ-CANON-030,10232,REGISTERED_CANDIDATE,"Maintain property, buyer, lead, heritage, land-tax, valuation, sale, and capture-only promotion workflows.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-031,Automotive and Jenok Operations,MOD-AUTOMOTIVE-JENOK,REQ-CANON-031,10522,REGISTERED_CANDIDATE,"Maintain automotive catalogue, fitment, workshop, parts, customer, supplier, repair, billing, and robotics workflows.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-032,Video and Social Intelligence,MOD-VIDEO-INTEL,REQ-CANON-032,7960,REGISTERED_CANDIDATE,"Ingest copied links and media, transcribe, OCR, verify claims, preserve evidence, and route outputs to modules.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-033,Passive Income and Autonomous Business,MOD-PASSIVE-INCOME,REQ-CANON-033,5898,REGISTERED_CANDIDATE,"Discover, verify, rank, blueprint, build, and monitor lawful AI-enabled income opportunities without guaranteeing returns.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-034,Survival and Resilience,MOD-SURVIVAL,REQ-CANON-034,2303,REGISTERED_CANDIDATE,"Maintain food, water, shelter, emergency, off-grid, seed, and physical preparedness intelligence.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-035,Spooky2 and Frequency Evidence,MOD-SPOOKY2,REQ-CANON-035,4407,REGISTERED_CANDIDATE,"Keep frequency, Rife, PEMF, PBM, scalar, plasma, and related claims evidence-tiered and health-gated.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-036,Dream Home and Estate Planning,MOD-DREAM-HOME,REQ-CANON-036,6981,REGISTERED_CANDIDATE,"Maintain source-first residence requirements, architect briefs, visual references, decisions, gaps, and future updates.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-037,Grow and Hydroponics,MOD-GROW,REQ-CANON-037,1708,REGISTERED_CANDIDATE,"Maintain grow, hydroponics, DWC, nutrients, seeds, environment, safety, and compliance requirements.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
FEAT-038,Personal Admin and Legal Coordination,MOD-LEGAL-ADMIN,REQ-CANON-038,14187,REGISTERED_CANDIDATE,"Maintain immigration, citizenship, fines, contracts, personal administration, and professional legal review workflows.",UNVERIFIED_OR_PARTIAL,reconcile against repository/runtime evidence
