function_id,function_name,primary_module,requirement_id,source_message_count,inputs,outputs,errors,approval,status,test_state
FUNC-001,capture_request,MOD-PROJECTS-KB,REQ-CANON-001,26723,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-002,ingest_source,MOD-MASTER-KB,REQ-CANON-002,15326,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-003,compile_requirements,MOD-PROJECTS-KB,REQ-CANON-003,10885,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-004,register_module,MOD-MODULE-RUNTIME,REQ-CANON-004,7568,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-005,register_feature,MOD-CORE-PLATFORM,REQ-CANON-005,9296,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-006,register_function,MOD-SOFTWARE-RUNTIME,REQ-CANON-006,18113,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-007,route_skill,MOD-AGENT-ORCHESTRATOR,REQ-CANON-007,2109,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-008,register_integration,MOD-INTEGRATIONS-FABRIC,REQ-CANON-008,17063,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-009,route_model,MOD-LLM-ROUTER,REQ-CANON-009,13571,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-010,orchestrate_agents,MOD-AGENT-ORCHESTRATOR,REQ-CANON-010,6215,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-011,run_workflow,MOD-WORKFLOW-RUNTIME,REQ-CANON-011,15731,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-012,deploy_staging,MOD-DEPLOYMENT,REQ-CANON-012,6669,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-013,create_pr,MOD-DEPLOYMENT,REQ-CANON-013,8518,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-014,govern_secrets,MOD-SECURITY-VAULT,REQ-CANON-014,19930,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-015,request_approval,MOD-AUTONOMY-GOVERNOR,REQ-CANON-015,15128,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-016,write_evidence,MOD-AUDIT-LEDGER,REQ-CANON-016,29357,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-017,update_tracker,MOD-DASHBOARD,REQ-CANON-017,16870,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-018,resume_state,MOD-MEMORY-CONTINUITY,REQ-CANON-018,11400,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-019,route_cost,MOD-COST-ENGINE,REQ-CANON-019,28988,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-020,build_capability,MOD-SELF-BUILD,REQ-CANON-020,794,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-021,store_data,MOD-PROJECTS-KB,REQ-CANON-021,3306,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-022,gather_intelligence,MOD-INTELLIGENCE-JOBS,REQ-CANON-022,16376,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-023,qualify_operator,MOD-OPERATOR-SUMMARIES,REQ-CANON-023,2607,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-024,render_control,MOD-CONSOLE-JARVIS-POP,REQ-CANON-024,12037,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-025,restore_state,MOD-BACKUP-RECOVERY,REQ-CANON-025,5744,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-026,analyse_xrp_hbar,MOD-XRP-HBAR-APEX,REQ-CANON-026,30176,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-027,paper_trade,MOD-TRADING-RESEARCH,REQ-CANON-027,10037,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-028,manage_finance,MOD-AI-CFO,REQ-CANON-028,20021,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-029,coordinate_health,MOD-HEALTH,REQ-CANON-029,12059,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-030,capture_property,MOD-PROPERTY,REQ-CANON-030,10232,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-031,operate_automotive,MOD-AUTOMOTIVE-JENOK,REQ-CANON-031,10522,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-032,process_video,MOD-VIDEO-INTEL,REQ-CANON-032,7960,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-033,scout_income,MOD-PASSIVE-INCOME,REQ-CANON-033,5898,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-034,plan_resilience,MOD-SURVIVAL,REQ-CANON-034,2303,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-035,review_frequency,MOD-SPOOKY2,REQ-CANON-035,4407,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-036,plan_estate,MOD-DREAM-HOME,REQ-CANON-036,6981,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-037,plan_grow,MOD-GROW,REQ-CANON-037,1708,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
FUNC-038,coordinate_admin,MOD-LEGAL-ADMIN,REQ-CANON-038,14187,defined by module contract,artifact/evidence/state transition,fail closed; gap or blocker record,per constitution,REGISTERED_CANDIDATE,PENDING_RUNTIME_RECONCILIATION
