skill_name,capability,placement,availability,primary_owner,runtime_state,test_state,next_action
jarvis-sovereign-builder,Jarvis Build integration spine,JARVIS_BUILD_BUILDER,AVAILABLE_SKILL_NOT_RUNTIME_WIRED,jarvis-sovereign-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
jarvis-reconstruction,source/spec/runtime reconciliation,JARVIS_BUILD_BUILDER,ACTIVE_FOR_THIS_RUN,jarvis-reconstruction,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
master-chatgpt-kb,export/archive extraction and lineage,JARVIS_BUILD_BUILDER,AVAILABLE,master-chatgpt-kb,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
source-first-project-continuity,source-first continuity and handoff,SHARED_SERVICE,AVAILABLE,source-first-project-continuity,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
jason-sync,JSON/JSONL/archive ledgers and merge,JARVIS_BUILD_BUILDER,AVAILABLE,jason-sync,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
project-orchestrator-continuity,cross-skill continuity router,CONTROL_OVERLAY,AVAILABLE,project-orchestrator-continuity,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
source-first-agent-framework-builder,framework and ToolPlan construction,JARVIS_BUILD_BUILDER,AVAILABLE,source-first-agent-framework-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
agent-capability-upgrader,agent/security/deployment upgrades,JARVIS_BUILD_BUILDER,AVAILABLE,agent-capability-upgrader,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
agent-skill-integration-builder,framework-native Skill integration,SHARED_SERVICE,AVAILABLE,agent-skill-integration-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
universal-agent-autopilot-orchestrator,bounded end-to-end orchestration,CONTROL_OVERLAY,AVAILABLE,universal-agent-autopilot-orchestrator,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
request-construction-planner,pre-execution request strengthening,CONTROL_OVERLAY,AVAILABLE,request-construction-planner,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
request-llm-library,Request-to-LLM library,CONTROL_OVERLAY,AVAILABLE,request-llm-library,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
trigger-library-manager,trigger and phrase registry,CONTROL_OVERLAY,AVAILABLE,trigger-library-manager,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
project-instruction-optimizer,project instruction maintenance,CONTROL_OVERLAY,AVAILABLE,project-instruction-optimizer,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
sovereign-execution-language,precise high-execution language,CONTROL_OVERLAY,AVAILABLE,sovereign-execution-language,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
github-repo-capability-scout,repository discovery and quarantine,JARVIS_BUILD_BUILDER,AVAILABLE,github-repo-capability-scout,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
github-railway-deploy-controller,repo-to-Railway staging/deploy control,JARVIS_BUILD_BUILDER,OWNER_GATED_FOR_LIVE_ACTIONS,github-railway-deploy-controller,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
project-stack-access-mapper,"credentials, OAuth, env and access maps",SHARED_SERVICE,AVAILABLE,project-stack-access-mapper,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
universal-intelligence-gatherer,official-first research and claim verification,SHARED_SERVICE,AVAILABLE,universal-intelligence-gatherer,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
universal-sourcing-stack-scout,free/cheap/best-value stack routing,SHARED_SERVICE,AVAILABLE,universal-sourcing-stack-scout,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
xrp-hbar-apex-live-deployer,XRP/HBAR OS audit and deployment prep,DOMAIN_MODULE,RESEARCH_PAPER_FIRST,xrp-hbar-apex-live-deployer,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
xrp-hbar-apex-tracker,XRP/HBAR intelligence tracking,DOMAIN_MODULE,RESEARCH_ONLY,xrp-hbar-apex-tracker,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
trading-bot-apex-orchestrator,trading research and bot governance,DOMAIN_MODULE,PAPER_FIRST,trading-bot-apex-orchestrator,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
autonomous-trading-apex-autonomy,strategy research/backtest/paper trading,DOMAIN_MODULE,PAPER_FIRST,autonomous-trading-apex-autonomy,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
apex-asset-ceiling-roi,cross-asset valuation research,DOMAIN_MODULE,RESEARCH_ONLY,apex-asset-ceiling-roi,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
cfo-audit-controller,CFO evidence and audit controls,DOMAIN_MODULE,PROFESSIONAL_GATES,cfo-audit-controller,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
bill-cfo-ocr-source-intake,finance document/OCR intake,DOMAIN_MODULE,PRIVACY_AND_PROFESSIONAL_GATES,bill-cfo-ocr-source-intake,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
property-buyer-capture,property buyer capture,DOMAIN_MODULE,CAPTURE_ONLY,property-buyer-capture,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
vti-video-intelligence-builder,video/transcript intelligence,DOMAIN_MODULE,AVAILABLE,vti-video-intelligence-builder,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
dream-home-estate-planner,dream-home continuity and architect brief,DOMAIN_MODULE,AVAILABLE,dream-home-estate-planner,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
jenok-catalog-extractor,automotive catalogue extraction,DOMAIN_MODULE,PUBLIC_SOURCE_ONLY,jenok-catalog-extractor,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
agent-workstation-planner,local AI/trading workstation architecture,DOMAIN_MODULE,AVAILABLE,agent-workstation-planner,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
passive-income-apex-autonomy,autonomous business research,DOMAIN_MODULE,TARGETS_NOT_GUARANTEES,passive-income-apex-autonomy,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
gemantria-cross-system-orchestrator,symbolic/numerology interpretation,DOMAIN_MODULE,INTERPRETIVE_NOT_FACT_PROOF,gemantria-cross-system-orchestrator,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
spreadsheets,spreadsheet generation and verification,SHARED_SERVICE,AVAILABLE,spreadsheets,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
docx,DOCX authoring and verification,SHARED_SERVICE,AVAILABLE,docx,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
pdfs,PDF inspection and processing,SHARED_SERVICE,AVAILABLE,pdfs,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
slides,presentation generation,SHARED_SERVICE,AVAILABLE,slides,AVAILABLE_NOT_AUTOMATICALLY_INTEGRATED,PENDING_ADAPTER_OR_NATIVE_ROUTE_PROOF,"define triggers, inputs/outputs, allowed tools, data scope, tests, evidence, rollback, and runtime adapter"
